,STATION,sum,exit sum,total,year_week
0,ATL AV-BARCLAY,226271,215631,441902,2016-06-25
1,FLUSHING-MAIN,343714,250044,593758,2016-06-25
2,TIMES SQ-42 ST,510562,526705,1037267,2016-06-25
0,ATL AV-BARCLAY,221067,211820,432887,2016-07-02
1,FLUSHING-MAIN,339970,254823,594793,2016-07-02
2,TIMES SQ-42 ST,505655,531379,1037034,2016-07-02
0,ATL AV-BARCLAY,184197,183367,367564,2016-07-09
1,FLUSHING-MAIN,308440,227253,535693,2016-07-09
2,TIMES SQ-42 ST,452768,464580,917348,2016-07-09
0,ATL AV-BARCLAY,210192,200298,410490,2016-07-16
1,FLUSHING-MAIN,342147,250640,592787,2016-07-16
2,TIMES SQ-42 ST,509566,529237,1038803,2016-07-16
0,ATL AV-BARCLAY,208133,203545,411678,2016-07-23
1,FLUSHING-MAIN,339715,246443,586158,2016-07-23
2,TIMES SQ-42 ST,509500,533513,1043013,2016-07-23
0,ATL AV-BARCLAY,207106,200196,407302,2016-07-30
1,FLUSHING-MAIN,335798,246838,582636,2016-07-30
2,TIMES SQ-42 ST,511393,529865,1041258,2016-07-30
0,ATL AV-BARCLAY,191106,187450,378556,2016-08-06
1,FLUSHING-MAIN,337825,244260,582085,2016-08-06
2,TIMES SQ-42 ST,504419,527287,1031706,2016-08-06
0,ATL AV-BARCLAY,203199,198404,401603,2016-08-13
1,FLUSHING-MAIN,336043,240183,576226,2016-08-13
2,TIMES SQ-42 ST,497169,518392,1015561,2016-08-13
0,ATL AV-BARCLAY,199485,202765,402250,2016-08-20
1,FLUSHING-MAIN,323320,230024,553344,2016-08-20
2,TIMES SQ-42 ST,481792,501312,983104,2016-08-20
0,ATL AV-BARCLAY,198999,202963,401962,2016-08-27
1,FLUSHING-MAIN,326915,237570,564485,2016-08-27
2,TIMES SQ-42 ST,478538,492883,971421,2016-08-27
0,ATL AV-BARCLAY,200502,193938,394440,2016-09-03
1,FLUSHING-MAIN,339358,248464,587822,2016-09-03
2,TIMES SQ-42 ST,462318,464689,927007,2016-09-03
0,ATL AV-BARCLAY,198028,194760,392788,2016-09-10
1,FLUSHING-MAIN,327385,240003,567388,2016-09-10
2,TIMES SQ-42 ST,444427,456738,901165,2016-09-10
0,ATL AV-BARCLAY,232415,216557,448972,2016-09-17
1,FLUSHING-MAIN,361086,257933,619019,2016-09-17
2,TIMES SQ-42 ST,499732,520873,1020605,2016-09-17
0,ATL AV-BARCLAY,654542408,36780427,691322835,2016-09-24
1,FLUSHING-MAIN,366122,255561,621683,2016-09-24
2,TIMES SQ-42 ST,495629,507941,1003570,2016-09-24
0,ATL AV-BARCLAY,241687,222521,464208,2016-10-01
1,FLUSHING-MAIN,360853,258723,619576,2016-10-01
2,TIMES SQ-42 ST,494913,518153,1013066,2016-10-01
0,ATL AV-BARCLAY,227239,227167,454406,2016-10-08
1,FLUSHING-MAIN,351685,248801,600486,2016-10-08
2,TIMES SQ-42 ST,483516,499845,983361,2016-10-08
0,ATL AV-BARCLAY,216823,209887,426710,2016-10-15
1,FLUSHING-MAIN,335658,239368,575026,2016-10-15
2,TIMES SQ-42 ST,101258378,533722,101792100,2016-10-15
0,ATL AV-BARCLAY,242582,237876,480458,2016-10-22
1,FLUSHING-MAIN,362450,256897,619347,2016-10-22
2,TIMES SQ-42 ST,498852,513568,1012420,2016-10-22
0,ATL AV-BARCLAY,249132,248200,497332,2016-10-29
1,FLUSHING-MAIN,346938,239231,586169,2016-10-29
2,TIMES SQ-42 ST,508505,525479,1033984,2016-10-29
0,ATL AV-BARCLAY,241130,244096,485226,2016-11-05
1,FLUSHING-MAIN,357707,249634,607341,2016-11-05
2,TIMES SQ-42 ST,510180,520979,1031159,2016-11-05
0,ATL AV-BARCLAY,279871,261531,541402,2016-11-12
1,FLUSHING-MAIN,373988,284635,658623,2016-11-12
2,TIMES SQ-42 ST,576960,548410,1125370,2016-11-12
0,ATL AV-BARCLAY,275295,247834,523129,2016-11-19
1,FLUSHING-MAIN,382564,284628,667192,2016-11-19
2,TIMES SQ-42 ST,573797,548866,1122663,2016-11-19
0,ATL AV-BARCLAY,237833,227854,465687,2016-11-26
1,FLUSHING-MAIN,329777,251154,580931,2016-11-26
